plate,owner,phone,class_vehicle,province,registration_date,id_card
TH-74-83,Võ Thị EE,885003859,Xe chuyên dụng,Bình Định,01/02/2020,75790834906
15X-35057,Phan Thị P,769417081,Ô tô khách,Bắc Kạn,28/10/2025,26651845825
41F-8825,Vũ Văn V,871928837,Ô tô khách,Hà Tĩnh,06/02/2021,20256897564
TH-77-71,Phạm Văn T,871928837,Xe chuyên dụng,Bạc Liêu,20/08/2022,19977212484
65Q-5502,Trần Văn XX,994519079,Ô tô khách,Tiền Giang,03/12/2023,40968688394
27S-7715,Đinh Văn M,995584430,Ô tô tải,Bắc Giang,05/04/2021,37020391628
74N-6392,Vũ Văn LL,343450947,Ô tô con,Sóc Trăng,15/01/2025,45909520105
48-K9.24117,Lý Thị QQ,331035691,Xe máy,Bình Định,23/03/2024,60474072183
43C-7686,Hồ Thị N,865856068,Ô tô khách,Quảng Trị,05/12/2021,11061485981
11R-6846,Lý Thị QQ,874223239,Ô tô con,Hà Nội,19/04/2024,74249333990
TH-51-42,Đặng Thị MM,976538448,Xe chuyên dụng,Hải Dương,02/11/2022,74274336494
64E-62048,Đinh Thị SS,786234361,Ô tô khách,Long An,10/10/2023,75105244940
28S-4528,Vũ Văn V,322945882,Ô tô khách,Phú Thọ,01/03/2021,22309119146
45M-95107,Lý Văn K,817885787,Ô tô con,Đà Nẵng,01/04/2023,14467675965
20W-73345,Đinh Thị SS,996722008,Ô tô con,Lai Châu,27/04/2023,19535509226
76O-4391,Đinh Văn M,322175726,Ô tô tải,Cà Mau,10/03/2020,77599812751
31C-3843,Nguyễn Văn Q,946673883,Ô tô khách,Hải Phòng,03/05/2020,26127899403
43R-24251,Bùi Văn NN,960797121,Ô tô khách,Quảng Trị,05/07/2023,38806823316
40G-4452,Mai Văn RR,363217378,Ô tô tải,Nghệ An,23/09/2020,2017330368
TH-22-73,Lê Văn C,356183104,Xe chuyên dụng,Hưng Yên,20/11/2020,36925096518
25U-52917,Lê Văn C,871928837,Ô tô khách,Thái Nguyên,21/09/2022,67912420872
TH-53-55,Hồ Văn TT,360684086,Xe chuyên dụng,Gia Lai,09/08/2021,25835383160
31Y-62500,Hồ Văn DD,762689495,Ô tô tải,Hải Phòng,01/09/2023,35443477413
35V-34549,Nguyễn Văn Q,709302510,Ô tô khách,Hà Nam,16/07/2023,77007974865
62Q-9611,Hoàng Văn E,347519842,Xe bán tải,Bà Rịa - Vũng Tàu,14/02/2024,33635515547
64Q-5261,Trần Văn HH,946673883,Ô tô khách,Long An,26/10/2021,22977339459
TH-21-42,Hồ Văn TT,862168671,Xe chuyên dụng,Yên Bái,10/10/2023,35792186260
TH-67-82,Lê Thị II,342386599,Xe chuyên dụng,Cao Bằng,08/08/2021,49604939457
25H-38676,Phạm Văn JJ,915680034,Ô tô con,Thái Nguyên,22/03/2023,70439862304
71-P7.7809,Đặng Văn G,938086508,Xe máy,Kiên Giang,26/04/2022,68789474624
68N-1472,Trần Văn XX,381761398,Xe bán tải,Vĩnh Long,03/01/2020,60708036791
59-I8.95113,Đỗ Văn PP,956757482,Xe máy,Tây Ninh,20/08/2021,75455041554
TH-45-31,Võ Thị EE,392266670,Xe chuyên dụng,An Giang,12/12/2024,64976668129
24D-4879,Đỗ Văn Z,789904920,Ô tô tải,Hòa Bình,24/02/2024,52301200703
11-D7.1103,Võ Thị UU,879365527,Xe máy,Hà Nội,04/07/2024,38296309349
69W-62704,Hoàng Thị U,852154713,Ô tô khách,Đồng Tháp,24/02/2025,31427945732
TH-88-41,Ngô Văn I,938086508,Xe chuyên dụng,Ninh Thuận,08/10/2024,33714744066
73X-1046,Đỗ Văn PP,356183104,Ô tô con,Hậu Giang,12/05/2021,4499306229
41B-3929,Ngô Văn I,323429465,Ô tô tải,Hà Tĩnh,10/12/2020,36623487275
29-S1.8268,Võ Văn O,916561480,Xe máy,Bắc Ninh,25/09/2023,54023319640
TH-39-23,Ngô Văn I,702447904,Xe chuyên dụng,Phú Thọ,25/08/2022,77804808390
28-Y9.3349,Nguyễn Văn Q,903809790,Xe máy,Phú Thọ,05/11/2025,2027017113
47I-80480,Ngô Văn I,377889756,Ô tô tải,Quảng Ngãi,11/08/2022,35136943297
29I-7123,Đặng Văn G,704347327,Ô tô con,Bắc Ninh,17/09/2023,26297105719
33T-6543,Hồ Thị N,373269963,Ô tô con,Hưng Yên,11/08/2022,47814662661
22K-2461,Hồ Văn TT,866720486,Xe bán tải,Yên Bái,14/12/2023,48381391244
15U-9507,Phan Văn FF,824381602,Ô tô tải,Bắc Kạn,17/09/2024,36969381619
46V-3634,Nguyễn Văn A,912891561,Ô tô tải,Quảng Nam,06/04/2023,44505708511
TH-84-99,Lý Thị AA,934580222,Xe chuyên dụng,Hà Giang,24/02/2021,4285771098
11R-61187,Lý Văn K,984504769,Ô tô khách,Hà Nội,02/11/2025,31799765029
53Z-9242,Bùi Văn X,934580222,Ô tô con,Kon Tum,08/10/2025,2204252879
75B-7974,Trần Văn XX,705911005,Ô tô tải,Bạc Liêu,01/05/2022,43550641782
22S-83089,Đặng Thị MM,873336018,Xe bán tải,Yên Bái,23/08/2023,17874459306
53N-5324,Đinh Văn M,885040646,Xe bán tải,Kon Tum,02/04/2025,68946349720
41S-9745,Đinh Văn M,985019097,Xe bán tải,Hà Tĩnh,25/02/2022,17014897068
72L-6632,Phan Văn VV,774968060,Xe bán tải,Cần Thơ,02/01/2023,36971506744
TH-78-38,Võ Thị EE,378983096,Xe chuyên dụng,Hà Nam,09/03/2022,37661649335
58-Q5.6038,Lý Văn K,994519079,Xe máy,Bình Phước,26/04/2025,12653750855
56G-9702,Hồ Văn TT,347519842,Ô tô khách,Đắk Nông,09/01/2020,15529364505
76-X1.51530,Đặng Văn G,934580222,Xe máy,Cà Mau,12/01/2021,60304274770
41M-6034,Hồ Văn DD,381005256,Ô tô tải,Hà Tĩnh,03/11/2024,44811349248
47H-3703,Đinh Thị CC,843082065,Ô tô khách,Quảng Ngãi,17/04/2023,24845503136
49S-43356,Đỗ Văn PP,988053409,Ô tô khách,Phú Yên,30/11/2024,74545897678
TH-42-69,Đỗ Thị J,351348662,Xe chuyên dụng,Hòa Bình,06/07/2022,31721903960
11-K4.22874,Hoàng Thị U,989017613,Xe máy,Hà Nội,28/11/2023,1279293745
31-U3.63795,Bùi Văn X,945895856,Xe máy,Hải Phòng,18/12/2024,12621833560
TH-43-15,Đặng Văn G,347519842,Xe chuyên dụng,Tây Ninh,08/07/2021,62340694542
49-U7.3555,Trần Văn XX,791496573,Xe máy,Phú Yên,02/09/2023,75725237284
45L-2766,Lê Thị II,939627211,Ô tô con,Đà Nẵng,22/05/2024,54058960135
24H-4950,Võ Thị EE,996722008,Ô tô con,Hòa Bình,12/06/2021,51637369139
40V-14876,Phạm Văn ZZ,915253060,Ô tô khách,Nghệ An,16/01/2020,44773938643
21C-18831,Lý Văn K,865856068,Ô tô con,Phú Thọ,22/07/2023,15960004226
TH-87-87,Ngô Thị OO,950027672,Xe chuyên dụng,Yên Bái,16/12/2020,74734250857
69W-1890,Đỗ Văn Z,856693583,Ô tô con,Đồng Tháp,25/03/2020,52630715036
69-K7.3994,Nguyễn Thị GG,945895856,Xe máy,Đồng Tháp,31/03/2025,42988875291
42-T4.94818,Trần Thị B,396941824,Xe máy,Quảng Bình,22/02/2021,2744217447
TH-87-36,Võ Thị UU,962285056,Xe chuyên dụng,Tuyên Quang,19/05/2020,33835396280
66Q-5173,Phạm Văn T,782290590,Ô tô tải,Bến Tre,04/03/2022,52102347656
57G-42117,Đặng Văn G,987434055,Ô tô con,Lâm Đồng,17/11/2021,31812981848
40-X9.6837,Phạm Thị D,830503214,Xe máy,Nghệ An,28/07/2025,6583949408
50G-1189,Hoàng Thị KK,792075409,Xe bán tải,Khánh Hòa,13/01/2023,74215112046
33B-5901,Nguyễn Thị GG,914901663,Ô tô khách,Hưng Yên,18/09/2025,17770418601
51D-5123,Nguyễn Văn Q,915253060,Ô tô con,Ninh Thuận,30/06/2023,12591644279
55C-8453,Bùi Thị H,983278884,Ô tô khách,Đắk Lắk,27/02/2025,25311322798
54M-8758,Hoàng Thị U,922309357,Ô tô khách,Gia Lai,23/04/2020,70350554068
49-C1.4234,Mai Thị L,817885787,Xe máy,Phú Yên,03/02/2025,44762107414
TH-46-42,Hoàng Thị U,770202239,Xe chuyên dụng,Hòa Bình,14/03/2023,72538227774
57-K8.27420,Hoàng Thị KK,377788478,Xe máy,Lâm Đồng,19/12/2021,68569608069
74T-7702,Đinh Văn M,329971569,Ô tô con,Sóc Trăng,01/04/2022,30071280824
27D-6330,Trần Văn HH,916561480,Ô tô tải,Bắc Giang,23/10/2025,11913672680
70B-1247,Đinh Thị CC,866443247,Xe bán tải,An Giang,08/09/2021,64390360448
12G-7287,Lê Thị II,859486488,Ô tô tải,Hà Giang,16/05/2021,46652162088
62M-63970,Trần Thị B,947572506,Ô tô khách,Bà Rịa - Vũng Tàu,17/03/2024,60195295887
14O-4125,Trần Văn XX,392365847,Ô tô khách,Cao Bằng,07/03/2025,6644378352
12Y-4604,Đỗ Thị J,382039866,Xe bán tải,Hà Giang,27/04/2022,20444148157
TH-67-96,Bùi Văn X,330372606,Xe chuyên dụng,Hải Dương,23/08/2023,67874753921
73H-39309,Lý Văn K,857549669,Ô tô con,Hậu Giang,15/01/2020,2223556304
76D-23418,Phạm Văn ZZ,996722008,Ô tô con,Cà Mau,03/08/2025,12597075595
26X-54052,Vũ Thị F,351348662,Xe bán tải,Lạng Sơn,26/09/2022,44380748216
54V-1745,Phan Văn FF,838404964,Ô tô khách,Gia Lai,15/11/2024,20056058591
74-N4.58355,Trần Văn R,825258945,Xe máy,Sóc Trăng,07/09/2021,60471868224
68N-3775,Lý Thị AA,368344867,Ô tô tải,Vĩnh Long,15/05/2024,64952857359
69V-1536,Vũ Văn LL,938788515,Ô tô khách,Đồng Tháp,18/12/2024,4859743059
61U-6540,Mai Thị L,991355629,Ô tô khách,Đồng Nai,25/05/2023,38023703190
73M-90866,Bùi Thị H,345258962,Xe bán tải,Hậu Giang,19/10/2023,52981912198
TH-73-14,Đặng Thị MM,956757482,Xe chuyên dụng,Lào Cai,09/01/2022,22608709423
31D-10985,Hồ Văn TT,789686691,Ô tô con,Hải Phòng,11/03/2022,12176619362
35Z-3326,Đinh Thị CC,917920618,Ô tô tải,Hà Nam,29/02/2020,4702821810
TH-95-28,Phạm Văn JJ,999770958,Xe chuyên dụng,Thái Bình,02/09/2025,56464188874
65M-4638,Mai Văn RR,940729644,Ô tô con,Tiền Giang,21/06/2023,36484921049
TH-76-12,Lê Thị YY,810423680,Xe chuyên dụng,Bình Phước,01/04/2022,17376798019
22-Q6.9825,Ngô Thị OO,866720486,Xe máy,Yên Bái,03/04/2021,46425311233
52V-4850,Nguyễn Văn Q,915680034,Ô tô con,Bình Thuận,18/06/2025,8285703341
12E-1772,Lê Văn C,392365847,Ô tô khách,Hà Giang,31/12/2021,26723345659
49T-9999,Võ Thị UU,866720486,Ô tô khách,Phú Yên,29/06/2022,60961569506
17I-3492,Hồ Thị N,845535516,Ô tô khách,Tuyên Quang,02/08/2020,67888873454
38V-5464,Lê Thị YY,766470152,Ô tô tải,Thanh Hóa,10/04/2025,74577727026
46T-65007,Nguyễn Thị WW,912891561,Ô tô con,Quảng Nam,04/12/2020,8997976901
48S-98778,Lý Thị QQ,825326754,Xe bán tải,Bình Định,10/09/2022,75784383761
63B-8176,Mai Văn BB,704347327,Ô tô tải,TP. Hồ Chí Minh,19/04/2025,47098110111
31A-9922,Lý Văn K,881896374,Ô tô con,Hải Phòng,08/10/2022,14360256202
75T-87247,Đặng Thị W,963251738,Ô tô con,Bạc Liêu,17/04/2024,56571061764
52Z-8215,Bùi Thị H,335768829,Xe bán tải,Bình Thuận,08/11/2023,44470360416
75E-5578,Mai Văn BB,814337626,Ô tô tải,Bạc Liêu,16/06/2025,70172728461
50-F6.18058,Lê Văn C,946673883,Xe máy,Khánh Hòa,20/06/2023,37482810618
54K-1119,Hồ Văn DD,888725138,Ô tô con,Gia Lai,31/05/2021,30804168166
35D-31235,Mai Thị L,906105434,Ô tô tải,Hà Nam,07/01/2022,77992513457
27Y-7355,Lê Thị S,888725138,Ô tô khách,Bắc Giang,15/07/2023,62510586580
24Z-9606,Trần Văn R,988255352,Ô tô con,Hòa Bình,16/12/2024,31652799807
22R-83155,Bùi Văn X,903809790,Xe bán tải,Yên Bái,23/11/2021,33717327910
23T-27892,Võ Văn O,961357872,Ô tô khách,Sơn La,17/07/2021,67455861776
57B-8261,Phan Văn FF,862168671,Ô tô tải,Lâm Đồng,28/11/2020,48750277533
53L-5417,Vũ Thị F,822376673,Ô tô con,Kon Tum,13/08/2025,24200838269
22-J3.11306,Đinh Thị SS,376340456,Xe máy,Yên Bái,28/05/2021,14759026676
36O-6217,Bùi Văn NN,829182416,Ô tô khách,Nam Định,27/06/2021,8687188630
53R-90947,Lê Văn C,838404964,Xe bán tải,Kon Tum,05/08/2023,74200962126
41R-6309,Lê Văn C,786234361,Xe bán tải,Hà Tĩnh,21/11/2023,6051628668
TH-80-75,Bùi Văn X,705911005,Xe chuyên dụng,Bắc Kạn,26/07/2023,62395504538
58-T1.10500,Phan Văn FF,946673883,Xe máy,Bình Phước,27/07/2021,54278818170
11-Z7.5597,Trần Văn R,395214155,Xe máy,Hà Nội,26/01/2020,15793959472
44F-6952,Nguyễn Thị GG,946533151,Ô tô con,Thừa Thiên Huế,30/05/2024,14548005384
14-M9.6467,Mai Văn RR,941356555,Xe máy,Cao Bằng,15/10/2021,54941985248
40S-42020,Đỗ Văn PP,360062669,Ô tô khách,Nghệ An,17/04/2023,54444625145
19I-1201,Ngô Thị Y,357404302,Xe bán tải,Điện Biên,26/06/2025,45690858030
TH-54-81,Nguyễn Thị GG,946533151,Xe chuyên dụng,Điện Biên,01/08/2020,4490186453
48P-28894,Lê Văn C,392834373,Ô tô tải,Bình Định,17/12/2024,46312890734
33-Q7.9797,Bùi Thị H,347519842,Xe máy,Hưng Yên,16/09/2024,15716978524
52J-9856,Võ Văn O,989017613,Ô tô khách,Bình Thuận,30/07/2021,56878846670
38D-6470,Đinh Văn M,972361325,Ô tô tải,Thanh Hóa,15/01/2021,67551604261
44A-4643,Nguyễn Thị GG,771744311,Ô tô con,Thừa Thiên Huế,02/09/2023,40476948864
15K-6039,Đặng Thị W,986854894,Xe bán tải,Bắc Kạn,03/06/2023,66886653181
49-H2.19672,Trần Văn HH,791496573,Xe máy,Phú Yên,12/08/2023,60182198426
57G-3637,Hồ Thị N,364108430,Xe bán tải,Lâm Đồng,25/11/2023,22908094919
19Q-5965,Lý Văn K,953672079,Ô tô khách,Điện Biên,14/07/2023,4944149581
33-T2.9626,Đặng Thị W,903809790,Xe máy,Hưng Yên,21/07/2025,10772270417
25-Y4.4514,Vũ Văn LL,707079467,Xe máy,Thái Nguyên,08/09/2021,58586082924
60P-9494,Hồ Văn DD,903330218,Ô tô khách,Bình Dương,27/10/2023,49844871123
31Y-55502,Mai Văn BB,346508417,Xe bán tải,Hải Phòng,18/09/2020,48761560935
75U-73324,Trần Văn HH,761832770,Ô tô khách,Bạc Liêu,21/05/2020,26674504739
TH-52-94,Đỗ Văn Z,963463306,Xe chuyên dụng,Kon Tum,01/01/2022,52314363567
12G-6808,Hồ Thị N,798450946,Ô tô tải,Hà Giang,12/01/2023,43815298078
56P-8830,Phạm Văn JJ,787884232,Ô tô tải,Đắk Nông,26/08/2025,6967429082
44-B8.9808,Phạm Thị D,885003859,Xe máy,Thừa Thiên Huế,06/01/2022,42677770800
46P-9508,Phạm Văn T,952160532,Ô tô khách,Quảng Nam,14/07/2023,19907723803
TH-53-47,Hoàng Văn E,771744311,Xe chuyên dụng,Đồng Tháp,27/05/2025,15250761629
74J-5177,Đinh Thị CC,774968060,Ô tô khách,Sóc Trăng,15/02/2020,38216869484
23-K4.75855,Phạm Thị D,906007080,Xe máy,Sơn La,24/04/2021,46017123711
34D-6384,Hoàng Thị KK,963463306,Ô tô khách,Thái Bình,02/05/2023,11308817500
40H-3153,Ngô Văn I,810423680,Ô tô con,Nghệ An,06/11/2020,62590365871
TH-63-92,Nguyễn Văn Q,929522072,Xe chuyên dụng,Tiền Giang,16/11/2021,42352907093
TH-52-55,Phạm Văn ZZ,906007080,Xe chuyên dụng,TP. Hồ Chí Minh,28/06/2020,64613504791
67L-5498,Trần Thị B,785263728,Ô tô tải,Trà Vinh,05/01/2020,24945020693
TH-25-82,Phạm Văn JJ,994519079,Xe chuyên dụng,Đồng Nai,11/04/2022,49470597252
59D-4184,Lý Thị QQ,795681116,Ô tô tải,Tây Ninh,10/12/2022,54637330725
66L-9810,Bùi Thị H,373049083,Ô tô tải,Bến Tre,11/04/2020,36501274246
28I-9846,Nguyễn Văn A,371697771,Ô tô tải,Phú Thọ,25/03/2022,34637482388
TH-42-20,Trần Văn R,831451499,Xe chuyên dụng,Cao Bằng,02/09/2022,20540574533
36N-65946,Ngô Thị Y,380789206,Ô tô con,Nam Định,26/08/2025,35681780226
TH-10-70,Đỗ Văn Z,903330218,Xe chuyên dụng,Bình Phước,25/03/2024,33930189472
71M-4061,Vũ Thị F,915253060,Ô tô con,Kiên Giang,04/04/2021,6275949748
24L-9847,Nguyễn Thị GG,817007910,Ô tô tải,Hòa Bình,08/06/2025,37219065425
57Z-6603,Phan Thị P,874223239,Ô tô khách,Lâm Đồng,26/09/2020,27204674201
14Q-15240,Hoàng Thị KK,926605604,Xe bán tải,Cao Bằng,03/02/2023,70027901956
44V-7168,Hoàng Văn E,923544723,Ô tô con,Thừa Thiên Huế,23/04/2025,45097225432
31I-9762,Đỗ Thị J,357468200,Ô tô tải,Hải Phòng,14/08/2021,30917675426
14I-18124,Hoàng Thị U,323429465,Ô tô tải,Cao Bằng,05/05/2023,34272069995
70P-3560,Nguyễn Thị WW,993520642,Ô tô khách,An Giang,16/12/2022,58037174340
63Z-9788,Lý Thị QQ,960797121,Ô tô khách,TP. Hồ Chí Minh,19/08/2021,48923024517
TH-97-74,Mai Văn RR,708336556,Xe chuyên dụng,Sóc Trăng,24/05/2025,67237979273
45W-78513,Hoàng Văn E,845535516,Ô tô khách,Đà Nẵng,20/12/2021,4394463791
14M-9061,Hồ Văn DD,399804967,Xe bán tải,Cao Bằng,02/05/2020,2538809084
TH-51-49,Nguyễn Thị GG,995584430,Xe chuyên dụng,Thái Bình,07/06/2025,38983531667
TH-99-66,Đặng Thị W,976538448,Xe chuyên dụng,Quảng Trị,24/03/2023,68369194641
62U-8224,Lê Văn C,991355629,Ô tô khách,Bà Rịa - Vũng Tàu,10/01/2022,14123654572
46A-9675,Phạm Thị D,961619472,Xe bán tải,Quảng Nam,07/05/2021,52938709397
66U-6650,Hồ Văn TT,322945882,Ô tô con,Bến Tre,10/02/2023,49874703655
48-C1.81828,Lê Thị S,835570008,Xe máy,Bình Định,02/03/2020,17222440636
TH-91-11,Mai Thị L,885040646,Xe chuyên dụng,Kon Tum,26/07/2021,2663249901
45Q-2111,Hoàng Thị KK,972361325,Xe bán tải,Đà Nẵng,13/12/2024,10105570979
26-J9.93413,Hồ Văn DD,825258945,Xe máy,Lạng Sơn,24/10/2022,64359219427
37-K1.6622,Hồ Văn TT,857549669,Xe máy,Ninh Bình,27/04/2022,36009991916
59-F1.2954,Mai Văn BB,392365847,Xe máy,Tây Ninh,04/08/2025,19149632403
62-R2.12396,Lý Thị AA,392365847,Xe máy,Bà Rịa - Vũng Tàu,10/04/2020,38956470924
TH-12-95,Nguyễn Thị WW,775042381,Xe chuyên dụng,Cao Bằng,10/10/2025,4396850252
19X-1580,Phạm Văn T,709302510,Xe bán tải,Điện Biên,17/08/2025,36291519194
38-A9.7063,Bùi Thị H,963251738,Xe máy,Thanh Hóa,31/08/2023,67492602884
51E-8501,Ngô Thị OO,845535516,Ô tô con,Ninh Thuận,06/10/2022,48019831738
TH-14-72,Đỗ Văn PP,993520642,Xe chuyên dụng,Cần Thơ,09/05/2023,31018535699
58P-74454,Hoàng Thị KK,810423680,Ô tô khách,Bình Phước,28/04/2023,12641017835
37-Q2.2583,Phạm Văn ZZ,986854894,Xe máy,Ninh Bình,28/05/2021,2241705301
TH-33-50,Trần Thị B,994519079,Xe chuyên dụng,Bến Tre,09/07/2020,22873635933
51-V3.71852,Lê Thị II,940729644,Xe máy,Ninh Thuận,14/10/2022,46482310491
35-A4.4369,Phạm Thị D,950027672,Xe máy,Hà Nam,01/08/2024,42405198823
54-Y7.82552,Nguyễn Thị GG,859881426,Xe máy,Gia Lai,13/08/2023,42057598335
29-A6.7542,Hoàng Văn E,377889756,Xe máy,Bắc Ninh,29/01/2020,46165384210
69J-5515,Đỗ Văn PP,762689495,Xe bán tải,Đồng Tháp,16/07/2024,46817110147
22-B6.20009,Nguyễn Văn A,360062669,Xe máy,Yên Bái,20/03/2022,48426646333
42-J9.4026,Lê Thị S,918336900,Xe máy,Quảng Bình,29/10/2021,72361477973
TH-59-45,Hoàng Thị KK,348143428,Xe chuyên dụng,Phú Thọ,29/12/2023,36327124456
73H-7778,Đinh Thị CC,830503214,Ô tô con,Hậu Giang,15/11/2024,26768442081
TH-44-10,Trần Văn XX,381005256,Xe chuyên dụng,Lâm Đồng,10/09/2023,33007544140
28Q-91160,Bùi Thị H,322989105,Ô tô tải,Phú Thọ,18/03/2025,43320362627
73U-4630,Ngô Thị Y,836513361,Ô tô con,Hậu Giang,09/02/2023,33393271136
75C-1093,Hoàng Thị KK,361993659,Ô tô tải,Bạc Liêu,04/08/2021,48115633564
30T-7404,Phạm Văn ZZ,839508773,Ô tô con,Hải Dương,21/05/2020,46093207004
47F-6969,Lê Thị II,945895856,Ô tô con,Quảng Ngãi,06/10/2024,30914729349
68-G1.21210,Đỗ Thị J,999770958,Xe máy,Vĩnh Long,28/08/2020,14736204968
27N-94215,Nguyễn Thị GG,335768829,Xe bán tải,Bắc Giang,05/02/2020,70799839442
11-A8.8816,Phan Văn VV,352694611,Xe máy,Hà Nội,12/03/2025,19922173303
70X-2011,Phan Thị P,914901663,Xe bán tải,An Giang,14/07/2025,34680826087
29Y-7323,Ngô Thị OO,974827781,Ô tô khách,Bắc Ninh,06/05/2023,4124068867
47N-1699,Hồ Văn TT,911842180,Xe bán tải,Quảng Ngãi,05/09/2024,46714209549
17Q-8733,Phan Thị P,365250518,Ô tô con,Tuyên Quang,31/10/2023,62738696150
42-E5.5956,Phan Văn VV,323429465,Xe máy,Quảng Bình,12/05/2025,22139114712
28F-1861,Đinh Thị CC,984504769,Ô tô tải,Phú Thọ,09/11/2022,70404098342
TH-77-13,Hồ Văn DD,331035691,Xe chuyên dụng,Nghệ An,13/07/2024,68926447416
55Q-22173,Phạm Văn ZZ,793501956,Ô tô khách,Đắk Lắk,10/02/2020,62407955919
15-W3.20536,Bùi Văn X,815796659,Xe máy,Bắc Kạn,01/02/2024,48822732809
58-M9.5080,Mai Văn RR,822376673,Xe máy,Bình Phước,04/02/2025,56373356342
12R-39970,Đỗ Thị J,329244497,Ô tô tải,Hà Giang,08/03/2023,35135934973
58-M8.58539,Bùi Văn NN,969583713,Xe máy,Bình Phước,23/10/2020,20755628244
61E-63342,Trần Văn HH,774968060,Xe bán tải,Đồng Nai,17/08/2023,51287128782
49N-2447,Võ Thị EE,700009014,Ô tô con,Phú Yên,22/12/2024,43521562300
58D-35261,Phan Thị P,787422823,Xe bán tải,Bình Phước,24/11/2023,8366497480
37-C3.6899,Võ Văn O,926605604,Xe máy,Ninh Bình,22/01/2022,45986495535
70G-5569,Ngô Văn I,859486488,Ô tô con,An Giang,08/09/2022,77564170999
67U-1683,Đỗ Thị J,816464390,Ô tô tải,Trà Vinh,19/02/2021,64609764858
75O-4001,Mai Văn RR,354417918,Ô tô con,Bạc Liêu,24/01/2025,1731934545
64D-7099,Bùi Văn NN,380104986,Ô tô con,Long An,04/07/2020,54696806147
67-E2.58087,Mai Văn RR,396179685,Xe máy,Trà Vinh,28/09/2023,56453375900
24M-1936,Đặng Thị MM,963463306,Ô tô con,Hòa Bình,07/01/2020,34568031748
43V-27459,Đinh Văn M,360062669,Xe bán tải,Quảng Trị,24/10/2025,22331333409
57R-94622,Hồ Văn TT,975562189,Ô tô con,Lâm Đồng,19/12/2022,1364089696
57A-8988,Trần Thị B,702790458,Xe bán tải,Lâm Đồng,12/06/2025,72028193115
66K-1761,Đặng Văn G,794612959,Ô tô con,Bến Tre,13/03/2025,48550295921
73X-9428,Trần Thị B,380648659,Xe bán tải,Hậu Giang,23/08/2022,11239069013
63Y-2493,Vũ Thị F,331035691,Ô tô con,TP. Hồ Chí Minh,20/08/2022,12657091140
TH-26-95,Nguyễn Văn Q,874223239,Xe chuyên dụng,Gia Lai,17/08/2022,56888465345
19-R1.2562,Võ Văn O,946533151,Xe máy,Điện Biên,08/11/2022,8404589346
42I-4164,Vũ Thị F,810423680,Xe bán tải,Quảng Bình,29/03/2024,45986302809
43-E4.66446,Nguyễn Thị WW,954900295,Xe máy,Quảng Trị,16/04/2025,20845868207
11O-63762,Lý Thị QQ,842021945,Ô tô con,Hà Nội,01/03/2022,36454022321
68J-9896,Nguyễn Văn Q,370260561,Xe bán tải,Vĩnh Long,24/10/2021,51234111914
44-K5.9365,Đặng Văn G,918336900,Xe máy,Thừa Thiên Huế,06/03/2020,51433486768
22U-8120,Đinh Văn M,918336900,Ô tô khách,Yên Bái,01/08/2025,34376409258
58Z-1665,Trần Thị B,947614325,Ô tô khách,Bình Phước,26/11/2022,42086520290
24-S7.75327,Đặng Thị W,779868355,Xe máy,Hòa Bình,30/08/2021,27039484567
67-D5.4071,Đặng Thị MM,702447904,Xe máy,Trà Vinh,28/10/2022,72317971238
49B-3067,Võ Văn O,784375339,Ô tô con,Phú Yên,17/05/2024,77262351314
57-U1.57313,Trần Văn HH,839508773,Xe máy,Lâm Đồng,29/08/2022,17146131846
47-V6.42445,Võ Thị EE,885040646,Xe máy,Quảng Ngãi,01/10/2020,70378033207
58F-5762,Lê Thị S,955436014,Xe bán tải,Bình Phước,21/12/2020,34930648262
33P-8352,Ngô Văn I,934580222,Ô tô khách,Hưng Yên,27/01/2022,38244446268
68-D7.51262,Võ Thị UU,952160532,Xe máy,Vĩnh Long,11/12/2020,37114140953
TH-69-81,Đinh Thị SS,322989105,Xe chuyên dụng,Bạc Liêu,27/05/2021,64170944570
42H-84950,Võ Thị UU,972361325,Ô tô khách,Quảng Bình,02/06/2024,10333698928
38A-94059,Mai Văn BB,969583713,Ô tô con,Thanh Hóa,02/04/2025,34675846909
67-U9.41831,Đặng Thị MM,330372606,Xe máy,Trà Vinh,01/07/2025,43309026277
56N-7443,Hoàng Thị KK,901177876,Xe bán tải,Đắk Nông,27/10/2024,77874996244
36X-8077,Vũ Văn V,373269963,Ô tô tải,Nam Định,12/04/2022,36751237899
33C-13204,Phạm Văn JJ,702447904,Ô tô con,Hưng Yên,30/05/2025,30088235608
74-X3.4284,Nguyễn Thị GG,372646487,Xe máy,Sóc Trăng,11/05/2025,43919531523
73E-6379,Phạm Thị D,854942334,Xe bán tải,Hậu Giang,09/11/2023,22401157638
53-O1.32165,Ngô Thị OO,866443247,Xe máy,Kon Tum,07/05/2023,27993545650
TH-51-15,Phan Thị P,338219649,Xe chuyên dụng,Bình Dương,06/03/2021,1436416749
TH-94-13,Phan Thị P,824381602,Xe chuyên dụng,Đắk Lắk,29/10/2024,64679321536
45F-47381,Lý Văn K,817007910,Ô tô tải,Đà Nẵng,02/12/2021,31427474631
54W-1228,Lê Thị II,830503214,Xe bán tải,Gia Lai,19/12/2024,24210833598
37H-5634,Lê Thị II,377889756,Xe bán tải,Ninh Bình,24/03/2021,49979277298
35-Q5.5253,Ngô Thị OO,782290590,Xe máy,Hà Nam,18/04/2024,51272469104
